visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
30,33,1,0,CLE,OAK
36,32,2,0,TBA,BOS
37,38,4,0,TEX,CLE
34,29,0,1,TBA,BOS
31,40,1,4,TEX,CLE
37,30,1,1,TBA,BOS
34,30,1,1,TEX,CLE
34,31,2,3,TBA,CLE
40,32,3,1,TBA,CLE
39,33,4,2,TOR,BOS
29,30,0,0,TBA,CLE
38,34,0,3,TOR,BOS
38,38,0,1,TBA,CLE
32,35,2,1,TOR,BOS
38,33,1,2,BOS,TEX
37,34,1,1,BOS,TEX
32,34,0,2,CLE,DET
37,34,0,0,BOS,TEX
29,31,0,0,CLE,DET
41,38,0,1,CLE,DET
32,31,0,1,BOS,TEX
31,33,0,1,CLE,DET
44,38,0,1,MIN,CLE
33,30,1,1,OAK,BOS
35,36,0,0,MIN,CLE
38,33,0,0,OAK,BOS
31,32,0,0,MIN,CLE
33,34,1,2,OAK,BOS
51,46,3,1,SEA,BOS
22,26,0,1,CLE,TBA
33,33,1,0,SEA,BOS
36,30,2,1,CLE,TBA
33,28,1,1,SEA,BOS
30,36,1,0,CLE,TBA
33,33,0,0,SEA,BOS
37,35,2,2,ANA,BOS
29,31,2,1,CLE,NYA
37,33,0,1,ANA,BOS
31,31,0,0,CLE,NYA
38,31,4,0,ANA,BOS
40,32,1,0,CLE,NYA
37,29,1,0,CLE,NYA
36,34,2,2,BOS,DET
32,38,0,2,TOR,CLE
34,36,1,0,BOS,DET
33,30,0,1,TOR,CLE
30,32,0,0,BOS,DET
33,35,2,3,TOR,CLE
36,37,0,2,BOS,CLE
30,32,1,2,BOS,CLE
37,32,2,1,BOS,CLE
33,30,1,1,BOS,CLE
36,33,1,1,CLE,MIN
37,36,2,1,NYA,BOS
39,33,2,0,CLE,MIN
32,32,1,0,NYA,BOS
32,35,1,1,CLE,MIN
34,36,1,1,NYA,BOS
33,33,0,1,NYA,BOS
40,36,4,1,CLE,BAL
36,37,2,3,TOR,BOS
35,27,1,0,CLE,BAL
40,31,4,0,TOR,BOS
32,36,0,0,CLE,BAL
37,34,2,1,TOR,BOS
35,34,0,0,CLE,SEA
47,45,5,4,TEX,BOS
41,31,3,1,CLE,SEA
36,32,0,1,TEX,BOS
29,36,0,3,CLE,SEA
32,30,1,1,TEX,BOS
33,31,0,2,BOS,ANA
33,31,0,2,KCA,CLE
34,33,2,2,BOS,ANA
41,31,1,1,KCA,CLE
36,31,1,1,BOS,ANA
36,37,0,0,KCA,CLE
44,34,4,0,BOS,TOR
30,37,0,0,DET,CLE
37,40,1,1,BOS,TOR
31,30,0,1,DET,CLE
32,31,0,1,BOS,TOR
34,35,1,0,DET,CLE
34,33,0,0,BOS,SEA
36,34,3,0,CLE,OAK
30,29,2,0,BOS,SEA
37,33,0,1,BOS,SEA
