yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,Cook_WPct,Soolman_WPct,Kross_WPct,Smyth_WPct,BJames_Pythag_WPct,BJames_Pythag_WPctII
1994,NYA,670,534,5.9292,4.7257,70,43,0.6195,0.6072659,0.6230354,0.6273,0.6130,0.611533724947,0.602332605138
1948,BOS,907,720,5.8516,4.6452,96,59,0.6194,0.6097056,0.6234129,0.6299,0.6149,0.613436943766,0.604088728829
1972,PIT,691,512,4.4581,3.3032,96,59,0.6194,0.6532109,0.6194903,0.6748,0.6488,0.645571742437,0.633825065862
1962,LAN,842,697,5.1030,4.2242,102,63,0.6182,0.5846887,0.5904121,0.6040,0.5942,0.593388032706,0.58561331118
1951,BRO,855,672,5.4459,4.2803,97,60,0.6178,0.6158036,0.6196115,0.6362,0.6198,0.618145980624,0.608436040657
1969,NYN,632,541,3.9012,3.3395,100,62,0.6173,0.5654122,0.5589568,0.5841,0.5776,0.57711474415,0.570651638156
1977,NYA,831,651,5.1296,4.0185,100,62,0.6173,0.6178249,0.6143148,0.6382,0.6215,0.619691805715,0.609863832054
1980,BAL,805,640,4.9691,3.9506,100,62,0.6173,0.6087813,0.6049383,0.6289,0.6142,0.612717172911,0.603424527493
1999,ARI,908,676,5.6049,4.1728,100,62,0.6173,0.6501065,0.6469012,0.6716,0.6465,0.643388687726,0.631799363554
2005,SLN,805,634,4.9691,3.9136,100,62,0.6173,0.6145426,0.6087531,0.6349,0.6188,0.617177834647,0.607541999417
2008,LAA,765,697,4.7222,4.3025,100,62,0.6173,0.5312195,0.5435123,0.5488,0.5465,0.54641122504,0.542486169001
1904,BOS,608,466,3.9481,3.0260,95,59,0.6169,0.6314850,0.5960260,0.6524,0.6322,0.629944446338,0.619342950954
1920,NYA,838,629,5.4416,4.0844,95,59,0.6169,0.6448203,0.6393442,0.6661,0.6425,0.639633477095,0.628316871179
1928,SLN,807,636,5.2403,4.1299,95,59,0.6169,0.6141321,0.6141299,0.6344,0.6185,0.616862026342,0.607250393825
1945,SLN,756,583,4.9091,3.7857,95,59,0.6169,0.6276226,0.6157987,0.6484,0.6292,0.627079573196,0.616692543987
1950,DET,837,713,5.4351,4.6299,95,59,0.6169,0.5681739,0.5825000,0.5870,0.5800,0.579491255962,0.572834923645
1952,NYA,727,557,4.7208,3.6169,95,59,0.6169,0.6317199,0.6139805,0.6526,0.6324,0.630117861937,0.619503427607
1957,ML1,772,613,5.0130,3.9805,95,59,0.6169,0.6095400,0.6063312,0.6297,0.6148,0.613308114305,0.603969840201
1960,PIT,734,593,4.7662,3.8506,95,59,0.6169,0.5990826,0.5945390,0.6189,0.6063,0.605068480074,0.596370748405
1972,CIN,707,557,4.5909,3.6169,95,59,0.6169,0.6143411,0.6007338,0.6346,0.6187,0.617022878713,0.60739891707
1906,CHA,570,460,3.7748,3.0464,93,58,0.6159,0.5997391,0.5762583,0.6196,0.6068,0.605591798695,0.596853113657
1912,PIT,751,565,4.9735,3.7417,93,58,0.6159,0.6433345,0.6269007,0.6646,0.6413,0.638569290306,0.627330431644
1935,DET,919,665,6.0861,4.4040,93,58,0.6159,0.6688662,0.6721722,0.6910,0.6604,0.656333687187,0.643824668083
1946,BRO,701,570,4.4936,3.6538,96,60,0.6154,0.5952351,0.5870000,0.6149,0.6031,0.601985052083,0.593529338514
1985,TOR,759,588,4.7143,3.6522,99,62,0.6149,0.6247551,0.6096832,0.6454,0.6269,0.624935318526,0.61470967401
1996,CLE,952,769,5.9130,4.7764,99,62,0.6149,0.5991782,0.6161615,0.6190,0.6063,0.605144675211,0.596440978512
1914,BSN,657,548,4.2941,3.5817,94,59,0.6144,0.5802701,0.5740850,0.5995,0.5905,0.589722290912,0.582240571557
